mode: set
backend/internal/errors/errors.go:89.38,90.20 1 1
backend/internal/errors/presenter.go:128.2,128.19 1 1
backend/internal/errors/presenter.go:132.111,136.18 2 1
backend/internal/errors/presenter.go:136.18,138.3 1 1
backend/internal/errors/presenter.go:140.2,154.47 3 1
backend/internal/errors/presenter.go:154.47,156.3 1 0
backend/internal/errors/presenter.go:158.2,158.15 1 1
backend/internal/errors/presenter.go:163.63,173.2 5 1
backend/internal/errors/presenter.go:183.48,189.2 1 1
backend/internal/errors/presenter.go:192.102,193.19 1 1
backend/internal/errors/presenter.go:193.19,195.3 1 1
backend/internal/errors/presenter.go:197.2,197.62 1 1
backend/internal/errors/presenter.go:197.62,199.56 1 1
backend/internal/errors/presenter.go:199.56,201.4 1 1
backend/internal/errors/presenter.go:202.3,202.34 1 1
backend/internal/errors/presenter.go:208.69,210.2 1 0
backend/internal/errors/presenter.go:214.118,217.2 2 1
backend/internal/errors/presenter.go:220.92,223.2 2 1
backend/internal/errors/presenter.go:226.117,228.20 2 1
backend/internal/errors/presenter.go:228.20,230.3 1 1
backend/internal/errors/presenter.go:231.2,231.38 1 1
backend/internal/errors/redactor.go:46.38,48.44 2 1
backend/internal/errors/redactor.go:48.44,49.36 1 1
backend/internal/errors/redactor.go:49.36,51.4 1 1
backend/internal/errors/redactor.go:53.2,53.14 1 1
backend/internal/errors/redactor.go:57.42,58.49 1 1
backend/internal/errors/redactor.go:58.49,59.33 1 1
backend/internal/errors/redactor.go:59.33,61.4 1 1
backend/internal/errors/redactor.go:63.2,63.14 1 1
backend/internal/errors/redactor.go:67.45,68.52 1 1
backend/internal/errors/redactor.go:68.52,70.3 1 1
backend/internal/errors/redactor.go:71.2,71.14 1 1
backend/internal/errors/redactor.go:75.68,76.17 1 1
backend/internal/errors/redactor.go:76.17,78.3 1 1
backend/internal/errors/redactor.go:80.2,81.31 2 1
backend/internal/errors/redactor.go:81.31,83.3 1 1
backend/internal/errors/redactor.go:84.2,84.15 1 1
backend/internal/errors/redactor.go:88.61,89.25 1 1
backend/internal/errors/redactor.go:89.25,91.3 1 1
backend/internal/errors/redactor.go:93.2,93.27 1 1
backend/internal/errors/redactor.go:94.14,95.26 1 1
backend/internal/errors/redactor.go:95.26,97.4 1 1
backend/internal/errors/redactor.go:98.3,98.11 1 1
backend/internal/errors/redactor.go:99.30,100.22 1 1
backend/internal/errors/redactor.go:101.21,103.26 2 1
backend/internal/errors/redactor.go:103.26,105.4 1 1
backend/internal/errors/redactor.go:106.3,106.16 1 1
backend/internal/errors/redactor.go:107.10,108.11 1 1
backend/internal/errors/redactor.go:119.30,124.2 1 1
backend/internal/errors/redactor.go:127.53,129.16 2 1
backend/internal/errors/redactor.go:129.16,131.3 1 1
backend/internal/errors/redactor.go:132.2,133.12 2 1
backend/internal/errors/redactor.go:137.41,139.2 1 1
backend/internal/errors/redactor.go:142.49,146.29 2 1
backend/internal/errors/redactor.go:146.29,148.3 1 1
backend/internal/errors/redactor.go:151.2,151.25 1 1
backend/internal/errors/redactor.go:151.25,153.3 1 1
backend/internal/errors/redactor.go:156.2,156.47 1 1
backend/internal/errors/redactor.go:156.47,157.36 1 1
backend/internal/errors/redactor.go:157.36,159.4 1 1
backend/internal/errors/redactor.go:162.2,162.14 1 1
backend/internal/errors/redactor.go:166.79,167.17 1 1
backend/internal/errors/redactor.go:167.17,169.3 1 0
backend/internal/errors/redactor.go:171.2,172.31 2 1
backend/internal/errors/redactor.go:172.31,174.3 1 1
backend/internal/errors/redactor.go:175.2,175.15 1 1
backend/internal/errors/redactor.go:178.75,179.24 1 1
backend/internal/errors/redactor.go:179.24,181.3 1 1
backend/internal/errors/redactor.go:183.2,183.27 1 1
backend/internal/errors/redactor.go:184.14,185.26 1 1
backend/internal/errors/redactor.go:185.26,187.4 1 0
backend/internal/errors/redactor.go:188.3,188.11 1 1
backend/internal/errors/redactor.go:189.30,190.21 1 0
backend/internal/errors/redactor.go:191.21,193.26 2 0
backend/internal/errors/redactor.go:193.26,195.4 1 0
backend/internal/errors/redactor.go:196.3,196.16 1 0
backend/internal/errors/redactor.go:197.10,198.11 1 0
backend/internal/errors/redactor.go:203.49,204.16 1 1
backend/internal/errors/redactor.go:204.16,206.3 1 1
backend/internal/errors/redactor.go:208.2,210.16 3 1
backend/internal/errors/redactor.go:215.80,216.16 1 1
backend/internal/errors/redactor.go:216.16,218.3 1 1
backend/internal/errors/redactor.go:221.2,221.38 1 1
backend/internal/errors/redactor.go:221.38,231.3 1 1
backend/internal/errors/redactor.go:234.2,238.27 3 1
backend/internal/errors/redactor.go:238.27,240.3 1 0
backend/internal/errors/redactor.go:241.2,246.16 3 1
backend/internal/errors/suggestions.go:9.37,11.25 1 1
backend/internal/errors/suggestions.go:12.24,13.38 1 1
backend/internal/errors/suggestions.go:14.22,15.36 1 1
backend/internal/errors/suggestions.go:16.18,17.32 1 1
backend/internal/errors/suggestions.go:18.21,19.35 1 1
backend/internal/errors/suggestions.go:20.22,21.36 1 1
backend/internal/errors/suggestions.go:22.22,23.36 1 1
backend/internal/errors/suggestions.go:24.22,25.104 1 1
backend/internal/errors/suggestions.go:29.2,30.22 2 1
backend/internal/errors/suggestions.go:30.22,32.3 1 1
backend/internal/errors/suggestions.go:35.2,35.63 1 1
backend/internal/errors/suggestions.go:38.61,43.9 3 1
backend/internal/errors/suggestions.go:44.48,45.83 1 1
backend/internal/errors/suggestions.go:46.82,47.82 1 1
backend/internal/errors/suggestions.go:48.46,49.88 1 1
backend/internal/errors/suggestions.go:50.47,51.102 1 1
backend/internal/errors/suggestions.go:52.10,53.79 1 0
backend/internal/errors/suggestions.go:57.57,58.18 1 1
backend/internal/errors/suggestions.go:59.28,60.124 1 1
backend/internal/errors/suggestions.go:61.29,62.114 1 1
backend/internal/errors/suggestions.go:63.32,64.88 1 1
backend/internal/errors/suggestions.go:65.30,66.105 1 1
backend/internal/errors/suggestions.go:67.25,68.124 1 0
backend/internal/errors/suggestions.go:69.25,70.93 1 1
backend/internal/errors/suggestions.go:71.10,72.95 1 0
backend/internal/errors/suggestions.go:76.49,77.18 1 1
backend/internal/errors/suggestions.go:78.22,79.79 1 1
backend/internal/errors/suggestions.go:80.35,81.66 1 1
backend/internal/errors/suggestions.go:81.66,84.4 1 1
backend/internal/errors/suggestions.go:85.3,85.89 1 0
backend/internal/errors/suggestions.go:86.26,87.58 1 1
backend/internal/errors/suggestions.go:88.30,89.72 1 1
backend/internal/errors/suggestions.go:90.24,91.73 1 1
backend/internal/errors/suggestions.go:92.10,93.74 1 0
backend/internal/errors/suggestions.go:97.55,98.18 1 1
backend/internal/errors/suggestions.go:99.27,100.121 1 1
backend/internal/errors/suggestions.go:101.31,102.116 1 1
backend/internal/errors/suggestions.go:103.26,104.123 1 1
backend/internal/errors/suggestions.go:105.22,106.19 1 1
backend/internal/errors/suggestions.go:106.19,108.4 1 1
backend/internal/errors/suggestions.go:109.3,109.102 1 0
backend/internal/errors/suggestions.go:110.10,111.102 1 0
backend/internal/errors/suggestions.go:115.57,116.18 1 1
backend/internal/errors/suggestions.go:117.32,118.122 1 1
backend/internal/errors/suggestions.go:119.34,120.24 1 1
backend/internal/errors/suggestions.go:120.24,122.4 1 1
backend/internal/errors/suggestions.go:123.3,123.77 1 0
backend/internal/errors/suggestions.go:124.25,125.117 1 1
backend/internal/errors/suggestions.go:126.26,127.94 1 1
backend/internal/errors/suggestions.go:128.10,129.87 1 0
backend/internal/errors/suggestions.go:133.57,134.18 1 1
backend/internal/errors/suggestions.go:135.28,136.128 1 1
backend/internal/errors/suggestions.go:137.26,138.135 1 1
backend/internal/errors/suggestions.go:139.34,140.29 1 1
backend/internal/errors/suggestions.go:140.29,142.4 1 1
backend/internal/errors/suggestions.go:143.3,143.111 1 0
backend/internal/errors/suggestions.go:144.30,145.147 1 1
backend/internal/errors/suggestions.go:146.24,147.113 1 1
backend/internal/errors/suggestions.go:148.10,149.98 1 0
backend/internal/errors/suggestions.go:153.74,200.45 2 1
backend/internal/errors/suggestions.go:200.45,202.3 1 1
backend/internal/errors/suggestions.go:204.2,204.66 1 0
backend/internal/errors/suggestions.go:208.34,212.19 2 1
backend/internal/errors/suggestions.go:212.19,214.3 1 1
backend/internal/errors/suggestions.go:216.2,227.55 3 1
backend/internal/errors/suggestions.go:227.55,229.3 1 1
backend/internal/errors/suggestions.go:231.2,231.16 1 1
backend/internal/errors/suggestions.go:235.47,237.22 2 1
backend/internal/errors/suggestions.go:237.22,239.3 1 1
backend/internal/errors/suggestions.go:241.2,241.28 1 1
backend/internal/errors/suggestions.go:242.24,243.49 1 1
backend/internal/errors/suggestions.go:244.23,245.48 1 1
backend/internal/errors/suggestions.go:246.20,247.45 1 1
backend/internal/errors/suggestions.go:248.24,249.49 1 1
backend/internal/errors/suggestions.go:250.26,251.163 1 1
backend/internal/errors/suggestions.go:252.24,253.142 1 1
backend/internal/errors/suggestions.go:254.24,255.118 1 1
backend/internal/errors/suggestions.go:256.10,257.73 1 0
backend/internal/errors/suggestions.go:261.62,268.18 2 1
backend/internal/errors/suggestions.go:269.51,273.55 1 1
backend/internal/errors/suggestions.go:274.32,278.49 1 0
backend/internal/errors/suggestions.go:279.30,283.49 1 0
backend/internal/errors/suggestions.go:286.2,287.14 2 1
backend/internal/errors/suggestions.go:290.61,299.2 1 1
backend/internal/errors/suggestions.go:301.58,302.18 1 1
backend/internal/errors/suggestions.go:303.26,304.133 1 1
backend/internal/errors/suggestions.go:305.35,306.169 1 0
backend/internal/errors/suggestions.go:307.10,308.164 1 0
backend/internal/errors/suggestions.go:312.62,320.2 1 1
backend/internal/middleware/auth.go:82.84,89.2 1 0
backend/internal/middleware/auth.go:92.42,96.2 2 0
backend/internal/middleware/auth.go:103.70,104.54 1 0
backend/internal/middleware/auth.go:104.54,105.37 1 0
backend/internal/middleware/auth.go:105.37,107.50 1 0
backend/internal/middleware/auth.go:107.50,109.5 1 0
backend/internal/middleware/auth.go:111.4,120.51 6 0
backend/internal/middleware/auth.go:120.51,121.74 1 0
backend/internal/middleware/auth.go:121.74,126.6 4 0
backend/internal/middleware/auth.go:130.4,130.19 1 0
backend/internal/middleware/auth.go:130.19,131.71 1 0
backend/internal/middleware/auth.go:131.71,132.75 1 0
backend/internal/middleware/auth.go:132.75,137.7 4 0
backend/internal/middleware/auth.go:142.4,142.52 1 0
backend/internal/middleware/auth.go:142.52,143.68 1 0
backend/internal/middleware/auth.go:143.68,144.67 1 0
backend/internal/middleware/auth.go:144.67,147.7 2 0
backend/internal/middleware/auth.go:152.4,152.19 1 0
backend/internal/middleware/auth.go:152.19,157.5 1 0
backend/internal/middleware/auth.go:160.4,162.21 3 0
backend/internal/middleware/auth.go:162.21,164.5 1 0
backend/internal/middleware/auth.go:165.4,165.26 1 0
backend/internal/middleware/auth.go:165.26,167.5 1 0
backend/internal/middleware/auth.go:168.4,171.86 2 0
backend/internal/middleware/auth.go:171.86,173.37 2 0
backend/internal/middleware/auth.go:173.37,178.38 2 0
backend/internal/middleware/auth.go:178.38,180.7 1 0
backend/internal/middleware/auth.go:184.4,184.18 1 0
backend/internal/middleware/auth.go:191.51,192.54 1 0
backend/internal/middleware/auth.go:192.54,193.37 1 0
backend/internal/middleware/auth.go:193.37,195.19 2 0
backend/internal/middleware/auth.go:195.19,200.5 1 0
backend/internal/middleware/auth.go:201.4,201.18 1 0
backend/internal/middleware/auth.go:208.73,209.54 1 0
backend/internal/middleware/auth.go:209.54,210.37 1 0
backend/internal/middleware/auth.go:210.37,212.19 2 0
backend/internal/middleware/auth.go:212.19,217.5 1 0
backend/internal/middleware/auth.go:219.4,219.46 1 0
backend/internal/middleware/auth.go:219.46,224.5 1 0
backend/internal/middleware/auth.go:226.4,226.18 1 0
backend/internal/middleware/auth.go:232.133,233.30 1 0
backend/internal/middleware/auth.go:233.30,235.3 1 0
backend/internal/middleware/auth.go:238.2,239.16 2 0
backend/internal/middleware/auth.go:239.16,241.3 1 0
backend/internal/middleware/auth.go:244.2,245.62 2 0
backend/internal/middleware/auth.go:245.62,247.17 2 0
backend/internal/middleware/auth.go:247.17,249.4 1 0
backend/internal/middleware/auth.go:250.3,250.19 1 0
backend/internal/middleware/auth.go:253.2,259.39 2 0
backend/internal/middleware/auth.go:263.48,265.16 2 0
backend/internal/middleware/auth.go:265.16,267.3 1 0
backend/internal/middleware/auth.go:269.2,270.78 2 0
backend/internal/middleware/auth.go:270.78,272.3 1 0
backend/internal/middleware/auth.go:273.2,273.11 1 0
backend/internal/middleware/auth.go:277.61,279.16 2 0
backend/internal/middleware/auth.go:279.16,281.3 1 0
backend/internal/middleware/auth.go:282.2,282.21 1 0
backend/internal/middleware/auth.go:286.104,297.2 2 0
backend/internal/middleware/auth.go:300.68,322.2 2 0
backend/internal/middleware/auth.go:325.99,327.2 1 0
backend/internal/middleware/auth.go:330.53,331.59 1 0
backend/internal/middleware/auth.go:331.59,333.3 1 0
backend/internal/middleware/auth.go:334.2,334.12 1 0
backend/internal/middleware/auth.go:338.58,339.66 1 0
backend/internal/middleware/auth.go:339.66,341.3 1 0
backend/internal/middleware/auth.go:342.2,342.12 1 0
backend/internal/middleware/auth.go:346.60,347.68 1 0
backend/internal/middleware/auth.go:347.68,349.3 1 0
backend/internal/middleware/auth.go:350.2,350.11 1 0
backend/internal/middleware/auth.go:354.59,355.68 1 0
backend/internal/middleware/auth.go:355.68,357.3 1 0
backend/internal/middleware/auth.go:358.2,358.12 1 0
backend/internal/middleware/auth.go:362.48,364.2 1 0
backend/internal/middleware/auth.go:367.60,369.17 2 0
backend/internal/middleware/auth.go:369.17,371.3 1 0
backend/internal/middleware/auth.go:372.2,372.42 1 0
backend/internal/middleware/ratelimit.go:57.59,64.2 1 0
backend/internal/middleware/ratelimit.go:67.37,75.30 6 0
backend/internal/middleware/ratelimit.go:75.30,77.3 1 0
backend/internal/middleware/ratelimit.go:78.2,81.19 2 0
backend/internal/middleware/ratelimit.go:81.19,83.3 1 0
backend/internal/middleware/ratelimit.go:86.2,87.13 2 0
backend/internal/middleware/ratelimit.go:91.41,95.2 3 0
backend/internal/middleware/ratelimit.go:110.58,123.2 3 0
backend/internal/middleware/ratelimit.go:126.47,129.13 3 0
backend/internal/middleware/ratelimit.go:129.13,132.3 2 0
backend/internal/middleware/ratelimit.go:133.2,136.23 3 0
backend/internal/middleware/ratelimit.go:140.34,144.21 3 0
backend/internal/middleware/ratelimit.go:144.21,147.46 3 0
backend/internal/middleware/ratelimit.go:147.46,148.44 1 0
backend/internal/middleware/ratelimit.go:148.44,151.5 2 0
backend/internal/middleware/ratelimit.go:153.3,153.17 1 0
backend/internal/middleware/ratelimit.go:158.70,160.27 1 0
backend/internal/middleware/ratelimit.go:160.27,161.48 1 0
backend/internal/middleware/ratelimit.go:161.48,163.4 1 0
backend/internal/middleware/ratelimit.go:166.2,168.54 2 0
backend/internal/middleware/ratelimit.go:168.54,169.37 1 0
backend/internal/middleware/ratelimit.go:169.37,171.50 1 0
backend/internal/middleware/ratelimit.go:171.50,173.5 1 0
backend/internal/middleware/ratelimit.go:176.4,179.22 2 0
backend/internal/middleware/ratelimit.go:179.22,181.37 1 0
backend/internal/middleware/ratelimit.go:181.37,183.6 1 0
backend/internal/middleware/ratelimit.go:185.5,188.7 1 0
backend/internal/middleware/ratelimit.go:191.4,191.18 1 0
backend/internal/middleware/ratelimit.go:197.53,199.47 2 0
backend/internal/middleware/ratelimit.go:199.47,202.3 1 0
backend/internal/middleware/ratelimit.go:203.2,203.45 1 0
backend/internal/middleware/ratelimit.go:203.45,206.3 1 0
backend/internal/middleware/ratelimit.go:207.2,207.36 1 0
backend/internal/middleware/ratelimit.go:211.55,213.47 2 0
backend/internal/middleware/ratelimit.go:213.47,216.18 2 0
backend/internal/middleware/ratelimit.go:216.18,218.4 1 0
backend/internal/middleware/ratelimit.go:219.3,219.28 1 0
backend/internal/middleware/ratelimit.go:221.2,221.36 1 0
backend/internal/middleware/ratelimit.go:225.61,226.37 1 0
backend/internal/middleware/ratelimit.go:226.37,228.18 2 0
backend/internal/middleware/ratelimit.go:228.18,230.4 1 0
backend/internal/middleware/ratelimit.go:231.3,231.38 1 0
backend/internal/middleware/ratelimit.go:236.59,237.37 1 0
backend/internal/middleware/ratelimit.go:237.37,239.3 1 0
backend/internal/middleware/request_id.go:27.33,29.2 1 1
backend/internal/middleware/request_id.go:33.58,34.71 1 1
backend/internal/middleware/request_id.go:34.71,37.22 2 1
backend/internal/middleware/request_id.go:37.22,39.4 1 1
backend/internal/middleware/request_id.go:42.3,48.40 3 1
backend/internal/middleware/request_id.go:53.55,55.2 1 1
backend/internal/middleware/request_id.go:59.75,61.2 1 1
backend/internal/middleware/request_id.go:64.80,65.46 1 1
backend/internal/middleware/request_id.go:65.46,66.72 1 1
backend/internal/middleware/request_id.go:66.72,69.4 2 1
backend/internal/middleware/request_id.go:74.102,75.47 1 1
backend/internal/middleware/request_id.go:75.47,76.46 1 1
backend/internal/middleware/request_id.go:76.46,78.4 1 1
backend/internal/middleware/request_id.go:79.3,79.15 1 1
backend/internal/logger/logger.go:34.30,40.2 1 1
backend/internal/logger/logger.go:43.34,49.2 1 1
backend/internal/logger/logger.go:53.24,54.17 1 1
backend/internal/logger/logger.go:54.17,55.17 1 1
backend/internal/logger/logger.go:55.17,57.4 1 1
backend/internal/logger/logger.go:58.3,59.37 2 1
backend/internal/logger/logger.go:64.41,66.19 2 1
backend/internal/logger/logger.go:67.15,68.29 1 1
backend/internal/logger/logger.go:69.14,70.28 1 1
backend/internal/logger/logger.go:71.14,72.28 1 1
backend/internal/logger/logger.go:73.15,74.29 1 1
backend/internal/logger/logger.go:75.10,76.28 1 1
backend/internal/logger/logger.go:79.2,95.20 3 1
backend/internal/logger/logger.go:95.20,97.3 1 1
backend/internal/logger/logger.go:97.8,100.3 2 1
backend/internal/logger/logger.go:102.2,112.21 3 1
backend/internal/logger/logger.go:112.21,114.3 1 1
backend/internal/logger/logger.go:116.2,116.31 1 1
backend/internal/logger/logger.go:120.22,121.25 1 1
backend/internal/logger/logger.go:121.25,123.3 1 1
backend/internal/logger/logger.go:124.2,124.21 1 1
backend/internal/logger/logger.go:128.29,129.24 1 1
backend/internal/logger/logger.go:129.24,131.3 1 0
backend/internal/logger/logger.go:132.2,132.20 1 1
backend/internal/logger/logger.go:136.19,137.25 1 1
backend/internal/logger/logger.go:137.25,139.3 1 1
backend/internal/logger/logger.go:140.2,140.12 1 0
backend/internal/logger/logger.go:144.53,146.21 2 1
backend/internal/logger/logger.go:146.21,148.3 1 1
backend/internal/logger/logger.go:149.2,149.54 1 1
backend/internal/logger/logger.go:153.50,155.2 1 1
backend/internal/logger/logger.go:158.45,160.2 1 1
backend/internal/logger/logger.go:163.44,165.2 1 1
backend/internal/logger/logger.go:168.44,170.2 1 1
backend/internal/logger/logger.go:173.45,175.2 1 1
backend/internal/logger/logger.go:178.45,180.2 1 0
backend/internal/logger/logger.go:183.69,185.2 1 1
backend/internal/logger/logger.go:188.68,190.2 1 1
backend/internal/logger/logger.go:193.68,195.2 1 1
backend/internal/logger/logger.go:198.69,200.2 1 1
